listing_id,date,num_reviews,reviewers
41491894,2025-01-01,1,539532929
41491894,2024-12-01,2,"152453510,225229991"
29875197,2025-07-01,2,"472997605,48857156"
29875197,2025-01-01,3,"581111748,120260835,369150294"
29875197,2024-12-01,1,99578702
33037601,2025-05-01,1,81871565
33037601,2025-04-01,1,684556957
33037601,2024-12-01,3,"93501094,661249050,45303329"
38472842,2025-01-01,3,"58833110,423399411,276332423"
38472842,2024-11-01,1,424525979
38472842,2024-12-01,4,"567478757,498998812,519020491,4584108"
33068974,2025-05-01,1,216675029
33068974,2024-11-01,1,223032724
30000766,2025-08-01,1,488923449
30000766,2025-04-01,2,"64189620,406382004"
37867784,2025-01-01,1,442911939
37867784,2024-12-01,1,410442609
21059385,2025-02-01,1,411491227
21059385,2025-01-01,1,419406538
36383129,2025-07-01,1,103244158
36383129,2025-05-01,1,194977510
36383129,2025-01-01,1,19110282
33036950,2025-07-01,1,526410823
33036950,2024-12-01,1,370449548
42139551,2025-06-01,1,469390178
42139551,2025-04-01,2,"521173369,26453415"
42139551,2024-12-01,1,386257487
42139551,2024-11-01,1,445506969
8426540,2025-04-01,1,147387593
8426540,2024-11-01,1,214632643
24099993,2025-09-01,1,3655954
24099993,2025-07-01,1,160659066
24099993,2025-06-01,1,388537766
22369002,2024-12-01,1,35878758
22369002,2024-11-01,1,264619645
22369002,2025-02-01,1,45786768
42058408,2025-08-01,1,443101288
75683,2025-02-01,1,27729522
38111850,2025-05-01,1,28214702
38111850,2025-04-01,1,433265636
38111850,2025-03-01,1,26387604
38111850,2025-02-01,4,"673514209,525010848,577032554,158404351"
38111850,2024-12-01,2,"664812661,433265636"
38111850,2024-11-01,3,"398561394,183373698,227071843"
38111850,2025-01-01,1,158404351
35055282,2025-05-01,1,466086973
35055282,2025-04-01,1,224374045
35055282,2025-02-01,1,108220307
41997080,2024-11-01,1,657434434
1808465,2025-07-01,1,131421547
1808465,2025-03-01,3,"221480355,9912994,402044815"
